,character_ID,character_name,movie_ID,movie_title,gender
456,u456,CAPTAIN GALGENSTEIN,m28,barry lyndon,M
457,u457,CAPTAIN GROGAN,m28,barry lyndon,M
459,u459,CHEVALIER,m28,barry lyndon,M
461,u461,COUNTESS,m28,barry lyndon,F
473,u473,RODERICK,m28,barry lyndon,M
478,u478,DUNBAR,m29,basic,M
479,u479,HARDY,m29,basic,M
480,u480,KENDALL,m29,basic,M
482,u482,OSBORNE,m29,basic,F
483,u483,PIKE,m29,basic,M
485,u485,STYLES,m29,basic,M
488,u488,AMOS,m30,big fish,M
492,u492,EDWARD,m30,big fish,M
493,u493,JENNY,m30,big fish,F
494,u494,JOSEPHINE,m30,big fish,F
497,u497,SANDRA,m30,big fish,F
498,u498,WILL,m30,big fish,M
501,u501,JOHN,m31,birthday girl,M
502,u502,NADIA,m31,birthday girl,F
504,u504,YURI,m31,birthday girl,M
505,u505,ANGELA,m32,black snake moan,F
509,u509,GILL,m32,black snake moan,M
511,u511,LAZARUS,m32,black snake moan,M
514,u514,R.L.,m32,black snake moan,M
515,u515,RAE,m32,black snake moan,F
516,u516,RONNIE,m32,black snake moan,M
517,u517,ROSE,m32,black snake moan,F
519,u519,TEHRONNE,m32,black snake moan,M
520,u520,CHARLIE,m33,black rain,M
523,u523,JOYCE,m33,black rain,F
525,u525,NICK,m33,black rain,M
526,u526,OHASHI,m33,black rain,M
529,u529,BATTY,m34,blade runner,M
532,u532,DECKARD,m34,blade runner,M
539,u539,PRIS,m34,blade runner,F
540,u540,RACHAEL,m34,blade runner,F
542,u542,SEBASTIAN,m34,blade runner,M
547,u547,ADAM,m35,blast from the past,M
553,u553,CALVIN,m35,blast from the past,M
556,u556,EVE,m35,blast from the past,F
557,u557,HELEN,m35,blast from the past,F
567,u567,TROY,m35,blast from the past,M
570,u570,DETECTIVE WILLIAMS,m36,blue velvet,M
571,u571,DOROTHY,m36,blue velvet,F
574,u574,JEFFREY,m36,blue velvet,M
580,u580,SANDY,m36,blue velvet,F
585,u585,CONNOR,m37,the boondock saints,M
589,u589,DUFFY,m37,the boondock saints,M
592,u592,MURPHY,m37,the boondock saints,M
593,u593,PRIEST,m37,the boondock saints,M
594,u594,ROCCO,m37,the boondock saints,M
596,u596,SMECKER,m37,the boondock saints,M
599,u599,ANTHONY,m38,bottle rocket,M
601,u601,BOB,m38,bottle rocket,M
603,u603,DIGNAN,m38,bottle rocket,M
611,u611,MR. HENRY,m38,bottle rocket,M
612,u612,ABBOTT,m39,the bourne supremacy,M
613,u613,BOURNE,m39,the bourne supremacy,M
616,u616,IRENA,m39,the bourne supremacy,F
619,u619,MARIE,m39,the bourne supremacy,F
622,u622,NICKY,m39,the bourne supremacy,F
623,u623,PAMELA,m39,the bourne supremacy,F
636,u636,MARION,m40,braveheart,F
638,u638,PRINCESS,m40,braveheart,F
641,u641,WALLACE,m40,braveheart,M
642,u642,WILLIAM,m40,braveheart,M
643,u643,ANDREA,m41,the butterfly effect,F
645,u645,DR. REDFIELD,m41,the butterfly effect,M
646,u646,EVAN,m41,the butterfly effect,M
650,u650,KAYLEIGH,m41,the butterfly effect,F
658,u658,ANNINA,m42,casablanca,F
663,u663,FERRARI,m42,casablanca,M
664,u664,ILSA,m42,casablanca,F
665,u665,LASZLO,m42,casablanca,M
666,u666,RENAULT,m42,casablanca,M
667,u667,RICK,m42,casablanca,M
668,u668,SAM,m42,casablanca,M
669,u669,STRASSER,m42,casablanca,M
671,u671,UGARTE,m42,casablanca,M
674,u674,BADCHUCK,m43,cast away,M
676,u676,CHUCK,m43,cast away,M
681,u681,GOODCHUCK,m43,cast away,M
682,u682,KELLY,m43,cast away,F
686,u686,STAN,m43,cast away,M
689,u689,ANGELA,m44,the cider house rules,F
690,u690,BUSTER,m44,the cider house rules,M
691,u691,CANDY,m44,the cider house rules,F
695,u695,HOMER,m44,the cider house rules,M
697,u697,LARCH,m44,the cider house rules,M
700,u700,MR. ROSE,m44,the cider house rules,M
706,u706,ROSE ROSE,m44,the cider house rules,F
707,u707,WALLY,m44,the cider house rules,M
708,u708,ASHBY,m45,confidence,M
710,u710,BUTCH,m45,confidence,M
712,u712,GORDO,m45,confidence,M
713,u713,JAKE,m45,confidence,M
714,u714,KING PIN,m45,confidence,M
715,u715,LILY,m45,confidence,F
717,u717,LUPUS,m45,confidence,M
718,u718,MILES,m45,confidence,M
725,u725,BELLA,m46,croupier,F
727,u727,GILES,m46,croupier,M
728,u728,JACK,m46,croupier,M
730,u730,JANI,m46,croupier,F
733,u733,MARION,m46,croupier,F
734,u734,MATT,m46,croupier,M
735,u735,REYNOLDS,m46,croupier,M
737,u737,BOILER,m47,dark star,M
739,u739,BOMB #20,m47,dark star,M
740,u740,DOOLITTLE,m47,dark star,M
741,u741,PINBACK,m47,dark star,M
742,u742,POWELL,m47,dark star,M
743,u743,TALBY,m47,dark star,M
745,u745,BRUNO,m48,dark angel,M
751,u751,LOGAN,m48,dark angel,M
752,u752,LYDIA,m48,dark angel,F
753,u753,MAX,m48,dark angel,M
755,u755,ORIGINAL CINDY,m48,dark angel,F
756,u756,SKETCHY,m48,dark angel,M
765,u765,HAWK,m49,detroit rock city,M
766,u766,JAM,m49,detroit rock city,M
768,u768,LEX,m49,detroit rock city,M
775,u775,TRIP,m49,detroit rock city,M
779,u779,DONNIE,m50,donnie darko,M
781,u781,DR. THURMAN,m50,donnie darko,M
785,u785,GRETCHEN,m50,donnie darko,F
796,u796,AMBER,m51,drop dead gorgeous,F
797,u797,ANNETTE,m51,drop dead gorgeous,F
810,u810,LORETTA,m51,drop dead gorgeous,F
817,u817,BOB,m52,duck soup,M
818,u818,CHICO,m52,duck soup,M
820,u820,GROUCHO,m52,duck soup,M
821,u821,MRS. TEASDALE,m52,duck soup,M
822,u822,TRENTINO,m52,duck soup,M
824,u824,ANNE,m53,the elephant man,F
826,u826,BYTES,m53,the elephant man,M
827,u827,CARR,m53,the elephant man,M
832,u832,MERRICK,m53,the elephant man,M
833,u833,MOTHERSHEAD,m53,the elephant man,F
838,u838,TREVES,m53,the elephant man,M
839,u839,AUD,m54,erik the viking,F
840,u840,ERIK,m54,erik the viking,M
846,u846,HELGA,m54,erik the viking,F
848,u848,KEITEL,m54,erik the viking,M
849,u849,KING ARNULF,m54,erik the viking,M
851,u851,LOKI,m54,erik the viking,M
854,u854,SVEN,m54,erik the viking,M
855,u855,SVEN'S DAD,m54,erik the viking,M
859,u859,CLEMENTINE,m55,eternal sunshine of the spotless mind,F
861,u861,JOEL,m55,eternal sunshine of the spotless mind,M
862,u862,MARY,m55,eternal sunshine of the spotless mind,F
863,u863,MIERZWIAK,m55,eternal sunshine of the spotless mind,M
864,u864,NAOMI,m55,eternal sunshine of the spotless mind,F
867,u867,PATRICK,m55,eternal sunshine of the spotless mind,M
869,u869,STAN,m55,eternal sunshine of the spotless mind,M
872,u872,CHINK,m56,even cowgirls get the blues,M
874,u874,JELLY,m56,even cowgirls get the blues,F
877,u877,SISSY,m56,even cowgirls get the blues,F
878,u878,THE COUNTESS,m56,even cowgirls get the blues,M
879,u879,COOPER,m57,event horizon,M
884,u884,MILLER,m57,event horizon,M
885,u885,PETERS,m57,event horizon,F
886,u886,SMITH,m57,event horizon,M
887,u887,STARCK,m57,event horizon,F
888,u888,WEIR,m57,event horizon,M
890,u890,BEN,m58,fantastic four,M
893,u893,JOHNNY,m58,fantastic four,M
895,u895,REED,m58,fantastic four,M
897,u897,SUE,m58,fantastic four,F
899,u899,VICTOR,m58,fantastic four,M
901,u901,BRAD,m59,fast times at ridgemont high,M
904,u904,DAMONE,m59,fast times at ridgemont high,M
910,u910,LINDA,m59,fast times at ridgemont high,F
912,u912,MR. HAND,m59,fast times at ridgemont high,M
914,u914,SPICOLI,m59,fast times at ridgemont high,M
915,u915,STACY,m59,fast times at ridgemont high,F
918,u918,CLERK,m60,fear and loathing in las vegas,F
920,u920,DUKE,m60,fear and loathing in las vegas,M
921,u921,GONZO,m60,fear and loathing in las vegas,M
929,u929,BELLE,m61,feast,F
930,u930,BOSS MAN,m61,feast,M
935,u935,HEROINE,m61,feast,F
948,u948,DICK,m62,frances,M
953,u953,ERNEST,m62,frances,M
955,u955,FRANCES,m62,frances,F
956,u956,HARRY,m62,frances,M
962,u962,LILLIAN,m62,frances,F
967,u967,SYMINGTON,m62,frances,M
969,u969,YOUNG MAN,m62,frances,M
972,u972,ELIZABETH,m63,frankenstein,F
976,u976,HENRY,m63,frankenstein,M
980,u980,VICTOR,m63,frankenstein,M
983,u983,ALICE,m64,friday the 13th,F
985,u985,BILL,m64,friday the 13th,M
997,u997,JACOB,m65,from dusk till dawn,M
998,u998,KATE,m65,from dusk till dawn,F
1003,u1003,RICHARD,m65,from dusk till dawn,M
1005,u1005,SETH,m65,from dusk till dawn,M
1008,u1008,C.O.,m66,g.i. jane,M
1010,u1010,DEHAVEN,m66,g.i. jane,F
1017,u1017,JORDAN,m66,g.i. jane,F
1019,u1019,ROYCE,m66,g.i. jane,M
1023,u1023,WICKWIRE,m66,g.i. jane,M
1024,u1024,ANIMAL,m67,godzilla,M
1025,u1025,AUDREY,m67,godzilla,F
1032,u1032,MAJOR HICKS,m67,godzilla,M
1034,u1034,NICK,m67,godzilla,M
1036,u1036,ALEXANDER,m68,galaxy quest,M
1037,u1037,BRANDON,m68,galaxy quest,M
1041,u1041,GWEN,m68,galaxy quest,F
1042,u1042,JASON,m68,galaxy quest,M
1045,u1045,MATHESAR,m68,galaxy quest,M
1047,u1047,QUELLEK,m68,galaxy quest,M
1049,u1049,TOMMY,m68,galaxy quest,M
1050,u1050,ARNOLD,m69,george washington,M
1054,u1054,HAMILTON,m69,george washington,M
1057,u1057,JOSEPH REED,m69,george washington,M
1058,u1058,LAFAYETTE,m69,george washington,M
1059,u1059,MARTHA,m69,george washington,F
1061,u1061,NATHANAEL GREENE,m69,george washington,M
1062,u1062,SALLY,m69,george washington,F
1064,u1064,WASHINGTON,m69,george washington,M
1066,u1066,YOUNG WASHINGTON,m69,george washington,M
1068,u1068,BEAR,m70,get shorty,M
1069,u1069,BO CATLETT,m70,get shorty,M
1070,u1070,BONES,m70,get shorty,M
1071,u1071,CHILI,m70,get shorty,M
1077,u1077,HARRY,m70,get shorty,M
1078,u1078,KAREN,m70,get shorty,F
1081,u1081,MARTIN,m70,get shorty,M
1084,u1084,TOMMY,m70,get shorty,M
1086,u1086,DODGE,m71,ghost ship,M
1087,u1087,EPPS,m71,ghost ship,F
1088,u1088,GREER,m71,ghost ship,M
1089,u1089,MURPHY,m71,ghost ship,M
1092,u1092,DAD,m72,ghost world,M
1094,u1094,ENID,m72,ghost world,F
1100,u1100,JOSH,m72,ghost world,M
1106,u1106,REBECCA,m72,ghost world,F
1107,u1107,ROBERTA,m72,ghost world,F
1108,u1108,SEYMOUR,m72,ghost world,M
1112,u1112,BEAUMONT,m73,the ghost and the darkness,M
1116,u1116,PATTERSON,m73,the ghost and the darkness,M
1117,u1117,REDBEARD,m73,the ghost and the darkness,M
1118,u1118,SAMUEL,m73,the ghost and the darkness,M
1119,u1119,STARLING,m73,the ghost and the darkness,M
1120,u1120,DANA,m74,ghostbusters ii,F
1124,u1124,JANINE,m74,ghostbusters ii,F
1125,u1125,JANOSZ,m74,ghostbusters ii,M
1127,u1127,LOUIS,m74,ghostbusters ii,M
1132,u1132,STANTZ,m74,ghostbusters ii,M
1133,u1133,VENKMAN,m74,ghostbusters ii,M
1135,u1135,WINSTON,m74,ghostbusters ii,M
1138,u1138,DANA,m75,ghostbusters,F
1149,u1149,SPENGLER,m75,ghostbusters,M
1150,u1150,STANTZ,m75,ghostbusters,M
1152,u1152,VENKMAN,m75,ghostbusters,M
1155,u1155,COMMODUS,m76,gladiator,M
1161,u1161,LUCILLA,m76,gladiator,F
1163,u1163,NARCISSUS,m76,gladiator,M
1164,u1164,PROXIMO,m76,gladiator,M
1166,u1166,SELENE,m76,gladiator,F
1169,u1169,BEN,m77,the graduate,M
1172,u1172,ELAINE,m77,the graduate,F
1173,u1173,MR. BRADDOCK,m77,the graduate,M
1174,u1174,MR. MCCLEERY,m77,the graduate,M
1176,u1176,MR. ROBINSON,m77,the graduate,M
1177,u1177,MRS. BRADDOCK,m77,the graduate,F
1178,u1178,MRS. ROBINSON,m77,the graduate,F
1179,u1179,MRS. ROBINSON'S VOICE,m77,the graduate,F
1181,u1181,ROOM CLERK,m77,the graduate,M
1184,u1184,BARON,m78,grand hotel,M
1185,u1185,CHAUFFEUR,m78,grand hotel,M
1186,u1186,CLERK,m78,grand hotel,M
1187,u1187,DOCTOR,m78,grand hotel,M
1188,u1188,FLAEMMCHEN,m78,grand hotel,F
1189,u1189,GERSTENKORN,m78,grand hotel,M
1190,u1190,GRUSINSKAYA,m78,grand hotel,F
1191,u1191,KRINGELEIN,m78,grand hotel,M
1195,u1195,PREYSING,m78,grand hotel,M
1198,u1198,SENF,m78,grand hotel,M
1199,u1199,SUZETTE,m78,grand hotel,F
1201,u1201,ZINNOWITZ,m78,grand hotel,M
1202,u1202,BOBO,m79,the grifters,M
1210,u1210,LILLY,m79,the grifters,F
1213,u1213,MYRA,m79,the grifters,F
1214,u1214,PIERSON,m79,the grifters,M
1215,u1215,ROY,m79,the grifters,M
1222,u1222,JOHN,m80,halloween h20: 20 years later,M
1223,u1223,KERI,m80,halloween h20: 20 years later,F
1228,u1228,WILL,m80,halloween h20: 20 years later,M
1236,u1236,LOOMIS,m81,halloween: the curse of michael myers,M
1239,u1239,WYNN,m81,halloween: the curse of michael myers,M
1240,u1240,HAROLD,m82,"happy birthday, wanda june",M
1241,u1241,LOOSELEAF,m82,"happy birthday, wanda june",M
1243,u1243,PAUL,m82,"happy birthday, wanda june",M
1244,u1244,PENELOPE,m82,"happy birthday, wanda june",F
1245,u1245,SHUTTLE,m82,"happy birthday, wanda june",M
1248,u1248,WOODLY,m82,"happy birthday, wanda june",M
1252,u1252,FELICE,m83,hardcore,F
1255,u1255,JAKE,m83,hardcore,M
1261,u1261,MAST,m83,hardcore,M
1262,u1262,NIKI,m83,hardcore,F
1266,u1266,TOD,m83,hardcore,M
1272,u1272,HAROLD,m84,harold and maude,M
1273,u1273,MAUDE,m84,harold and maude,F
1277,u1277,PSYCHIATRIST,m84,harold and maude,M
1279,u1279,UNCLE VICTOR,m84,harold and maude,M
1283,u1283,KIRSTY,m85,hellbound: hellraiser ii,F
1284,u1284,KYLE,m85,hellbound: hellraiser ii,M
1294,u1294,HELLBOY,m86,hellboy,M
1299,u1299,MYERS,m86,hellboy,M
1303,u1303,CENOBITE,m87,hellraiser,M
1305,u1305,FRANK,m87,hellraiser,M
1306,u1306,JULIA,m87,hellraiser,F
1307,u1307,KIRSTY,m87,hellraiser,F
1308,u1308,LARRY,m87,hellraiser,M
1311,u1311,STEVE,m87,hellraiser,M
1313,u1313,BARRY,m88,high fidelity,M
1314,u1314,CAROLINE,m88,high fidelity,F
1317,u1317,DICK,m88,high fidelity,M
1319,u1319,LAURA,m88,high fidelity,F
1320,u1320,LIZ,m88,high fidelity,F
1321,u1321,MARIE,m88,high fidelity,F
1323,u1323,ROB,m88,high fidelity,M
1325,u1325,WOMAN,m88,high fidelity,F
1326,u1326,BRENNA,m89,highlander,F
1327,u1327,CONOR,m89,highlander,M
1345,u1345,MORAN,m89,highlander,M
1349,u1349,ROMIREZ,m89,highlander,M
1351,u1351,TAUPIN,m89,highlander,M
1356,u1356,BRUCE,m90,his girl friday,M
1357,u1357,BURNS,m90,his girl friday,M
1361,u1361,ENDICOTT,m90,his girl friday,M
1363,u1363,HARTMAN,m90,his girl friday,M
1364,u1364,HILDY,m90,his girl friday,F
1368,u1368,MAYOR,m90,his girl friday,M
1372,u1372,MURPHY,m90,his girl friday,M
1375,u1375,WILLIAMS,m90,his girl friday,M
1379,u1379,CLIVE,m91,hope and glory,M
1380,u1380,DAWN,m91,hope and glory,F
1381,u1381,GRACE,m91,hope and glory,F
1384,u1384,MAC,m91,hope and glory,M
1388,u1388,BABY,m92,house of 1000 corpses,F
1389,u1389,BILL,m92,house of 1000 corpses,M
1392,u1392,DENISE,m92,house of 1000 corpses,F
1394,u1394,JERRY,m92,house of 1000 corpses,M
1395,u1395,MARY,m92,house of 1000 corpses,F
1404,u1404,GABRIELLE,m93,human nature,F
1405,u1405,LILA,m93,human nature,F
1407,u1407,NATHAN,m93,human nature,M
1409,u1409,PUFF,m93,human nature,M
1413,u1413,BERT,m94,the hustler,M
1415,u1415,CHARLIE,m94,the hustler,M
1416,u1416,EDDIE,m94,the hustler,M
1417,u1417,FATS,m94,the hustler,M
1418,u1418,FINDLEY,m94,the hustler,M
1420,u1420,SARAH,m94,the hustler,F
1422,u1422,EMMA,m95,i am legend,F
1424,u1424,NEVILLE,m95,i am legend,M
1427,u1427,DAD,m96,invaders from mars,M
1429,u1429,JIMMY,m96,invaders from mars,M
1430,u1430,LINDA,m96,invaders from mars,F
1434,u1434,CONSTANCE,m97,independence day,F
1435,u1435,DAVID,m97,independence day,M
1436,u1436,GENERAL GREY,m97,independence day,M
1437,u1437,JASMINE,m97,independence day,F
1440,u1440,MARTY,m97,independence day,M
1447,u1447,PRESIDENT,m97,independence day,M
1450,u1450,STEVE,m97,independence day,M
1452,u1452,BRODY,m98,indiana jones and the last crusade,M
1454,u1454,DONOVAN,m98,indiana jones and the last crusade,M
1455,u1455,ELSA,m98,indiana jones and the last crusade,F
1456,u1456,HENRY,m98,indiana jones and the last crusade,M
1457,u1457,INDY,m98,indiana jones and the last crusade,M
1463,u1463,INDIANA,m99,indiana jones and the temple of doom,M
1468,u1468,WILLIE,m99,indiana jones and the temple of doom,F
1469,u1469,AL,m100,innerspace,M
1475,u1475,JOE,m100,innerspace,M
1479,u1479,RENE,m100,innerspace,F
1490,u1490,DON HEWITT,m101,the insider,M
1497,u1497,LIANE,m101,the insider,F
1499,u1499,LOWELL,m101,the insider,M
1502,u1502,MIKE WALLACE,m101,the insider,M
1505,u1505,SHARON,m101,the insider,F
1510,u1510,WIGAND,m101,the insider,M
1513,u1513,DOYLE,m102,intolerable cruelty,M
1517,u1517,KENNETH,m102,intolerable cruelty,M
1519,u1519,MARYLIN,m102,intolerable cruelty,F
1520,u1520,MILES,m102,intolerable cruelty,M
1523,u1523,REX,m102,intolerable cruelty,M
1525,u1525,SARAH,m102,intolerable cruelty,F
1529,u1529,WRIGLEY,m102,intolerable cruelty,M
1530,u1530,ANDREWS,m103,it happened one night,F
1535,u1535,ELLIE,m103,it happened one night,F
1539,u1539,GORDON,m103,it happened one night,M
1548,u1548,PETER,m103,it happened one night,M
1552,u1552,SHAPELEY,m103,it happened one night,M
1556,u1556,ANDREWS,m104,jfk,M
1558,u1558,BILL,m104,jfk,M
1561,u1561,FERRIE,m104,jfk,M
1568,u1568,JIM,m104,jfk,M
1572,u1572,LIZ,m104,jfk,F
1574,u1574,LOU,m104,jfk,M
1577,u1577,MARTIN,m104,jfk,M
1585,u1585,SHAW,m104,jfk,M
1586,u1586,SUSIE,m104,jfk,F
1588,u1588,X,m104,jfk,F
1591,u1591,BEAUMONT,m105,jackie brown,M
1592,u1592,DARGUS,m105,jackie brown,M
1593,u1593,JACKIE,m105,jackie brown,F
1594,u1594,LOUIS,m105,jackie brown,M
1595,u1595,MAX,m105,jackie brown,M
1596,u1596,MELANIE,m105,jackie brown,F
1597,u1597,NICOLET,m105,jackie brown,M
1598,u1598,ORDELL,m105,jackie brown,M
1608,u1608,FRANK,m106,jacob's ladder,M
1612,u1612,JACOB,m106,jacob's ladder,M
1614,u1614,JEZZIE,m106,jacob's ladder,F
1616,u1616,LOUIS,m106,jacob's ladder,M
1617,u1617,MICHAEL,m106,jacob's ladder,M
1620,u1620,PAUL,m106,jacob's ladder,M
1630,u1630,BRODSKI,m107,jason x,M
1635,u1635,KAY-EM 14,m107,jason x,F
1642,u1642,BRODY,m108,jaws,M
1646,u1646,ELLEN,m108,jaws,F
1649,u1649,HOOPER,m108,jaws,M
1652,u1652,QUINT,m108,jaws,M
1653,u1653,VAUGHN,m108,jaws,M
1654,u1654,BLEEKER,m109,juno,M
1656,u1656,BREN,m109,juno,F
1660,u1660,JUNO,m109,juno,F
1661,u1661,LEAH,m109,juno,F
1662,u1662,MAC,m109,juno,F
1663,u1663,MARK,m109,juno,M
1668,u1668,VANESSA,m109,juno,F
1670,u1670,ADELE,m110,kalifornia,F
1672,u1672,BRIAN,m110,kalifornia,M
1674,u1674,CARRIE,m110,kalifornia,F
1675,u1675,EARLY,m110,kalifornia,M
1679,u1679,CASPER,m111,kids,M
1680,u1680,DARCY,m111,kids,F
1685,u1685,JENNIE,m111,kids,F
1691,u1691,RUBY,m111,kids,F
1695,u1695,TAXI DRIVER,m111,kids,M
1696,u1696,TELLY,m111,kids,M
1698,u1698,ANDY,m112,knight moves,M
1701,u1701,DOCTOR FULTON,m112,knight moves,M
1703,u1703,FRANK,m112,knight moves,M
1706,u1706,KATHY,m112,knight moves,F
1708,u1708,PETER,m112,knight moves,M
1712,u1712,COLWYN,m113,krull,M
1715,u1715,LYSSA,m113,krull,F
1720,u1720,TORQUIL,m113,krull,M
1724,u1724,WIDOW,m113,krull,F
1725,u1725,YNYR,m113,krull,M
1728,u1728,LEON,m114,léon,M
1730,u1730,MATHILDA,m114,léon,F
1736,u1736,ADELLE,m115,labor of love,F
1741,u1741,ELLEN,m115,labor of love,F
1748,u1748,MAURICE,m115,labor of love,M
1755,u1755,BEN,m116,leaving las vegas,M
1758,u1758,SERA,m116,leaving las vegas,F
1763,u1763,CHUTNEY,m117,legally blonde,F
1767,u1767,ELLE,m117,legally blonde,F
1768,u1768,EMMETT,m117,legally blonde,M
